customer_id,article_id,score,rec_ranking
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,821163003,1.0,1
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,690936006,0.5,2
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,783346016,0.3333333333333333,3
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,640021011,0.25,4
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,684209019,0.2,5
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,470789001,0.16666666666666666,6
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,804992001,0.14285714285714285,7
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,685814003,0.125,8
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,816423001,0.1111111111111111,9
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,824340002,0.1,10
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,865171001,0.09090909090909091,11
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,841699003,0.08333333333333333,12
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,832331003,0.07692307692307693,13
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,841383002,0.07142857142857142,14
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,733097001,0.06666666666666667,15
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,372860069,0.0625,16
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,850259001,0.058823529411764705,17
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,857812002,0.05555555555555555,18
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,841434002,0.05263157894736842,19
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,849648001,0.05,20
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,817472001,0.047619047619047616,21
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,738567003,0.045454545454545456,22
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,861682002,0.043478260869565216,23
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,748355003,0.041666666666666664,24
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,783346001,0.04,25
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,470789030,0.038461538461538464,26
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,832527002,0.037037037037037035,27
