customer_id,article_id,score,rec_ranking
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,599580038,69,1
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,706016001,58,2
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,599580052,48,3
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,610776002,48,4
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,741356002,45,5
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,706016002,44,6
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,759871002,43,7
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,599580055,42,8
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,841383002,41,9
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,687034023,40,10
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,776237011,40,11
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,783346001,40,12
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,841383003,39,13
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,351484002,38,14
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,610776001,37,15
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,799365011,36,16
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,688537004,34,17
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,806388002,34,18
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,720125001,32,19
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,843872006,32,20
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,684209004,31,21
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,758002008,31,22
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,783346018,31,23
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,684209027,30,24
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,714790020,30,25
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,723529001,30,26
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,757995009,30,27
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,684209013,29,28
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,762846007,29,29
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,753737001,28,30
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,811925005,28,31
e4f304fc282ab470cd1e3e81671f6658bf39e1b774feeabf68427a08d1610fd5,827370002,28,32
